buid	vsid	guid
3	0	93808B68F7624EDBA59A21C3AEED06EC
5	0	DE60260C1BB94D62927FA552E764255D
5	10	DE60260C1BB94D62927FA552E764255D
5	11	DE60260C1BB94D62927FA552E764255D
5	78	DE60260C1BB94D62927FA552E764255D
5	86	DE60260C1BB94D62927FA552E764255D
5	88	DE60260C1BB94D62927FA552E764255D
5	89	DE60260C1BB94D62927FA552E764255D
5	90	DE60260C1BB94D62927FA552E764255D
5	91	DE60260C1BB94D62927FA552E764255D
5	92	DE60260C1BB94D62927FA552E764255D
5	93	DE60260C1BB94D62927FA552E764255D
5	94	DE60260C1BB94D62927FA552E764255D
5	99	DE60260C1BB94D62927FA552E764255D
5	307	DE60260C1BB94D62927FA552E764255D
5	503	DE60260C1BB94D62927FA552E764255D
5	504	DE60260C1BB94D62927FA552E764255D
5	505	DE60260C1BB94D62927FA552E764255D
5	506	DE60260C1BB94D62927FA552E764255D
5	507	DE60260C1BB94D62927FA552E764255D
5	508	DE60260C1BB94D62927FA552E764255D
5	509	DE60260C1BB94D62927FA552E764255D
5	510	DE60260C1BB94D62927FA552E764255D
5	511	DE60260C1BB94D62927FA552E764255D
5	512	DE60260C1BB94D62927FA552E764255D
5	539	DE60260C1BB94D62927FA552E764255D
5	540	DE60260C1BB94D62927FA552E764255D
5	541	DE60260C1BB94D62927FA552E764255D
5	542	DE60260C1BB94D62927FA552E764255D
5	543	DE60260C1BB94D62927FA552E764255D
5	544	DE60260C1BB94D62927FA552E764255D
5	545	DE60260C1BB94D62927FA552E764255D
5	546	DE60260C1BB94D62927FA552E764255D
5	547	DE60260C1BB94D62927FA552E764255D
5	548	DE60260C1BB94D62927FA552E764255D
5	549	DE60260C1BB94D62927FA552E764255D
5	550	DE60260C1BB94D62927FA552E764255D
5	616	DE60260C1BB94D62927FA552E764255D
5	1604	DE60260C1BB94D62927FA552E764255D
5	1611	DE60260C1BB94D62927FA552E764255D
5	1612	DE60260C1BB94D62927FA552E764255D
5	1613	DE60260C1BB94D62927FA552E764255D
6	0	12FB540ABE294509A8A02CB2FFE680E8
8	0	1AEF2353505442B68B7DB6B79C4166F6
8	10	1AEF2353505442B68B7DB6B79C4166F6
8	11	1AEF2353505442B68B7DB6B79C4166F6
8	78	1AEF2353505442B68B7DB6B79C4166F6
